Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s]
1,0,0,0,0,2.42
2,0.005,46.239147,0.00028,0.0121,2.420033
3,0.01,173.396801,0.001609,0.0242,2.420007
4,0.015,219.635948,0.003986,0.0363,2.419923
5,0.02,184.956588,0.006434,0.048399,2.419834
6,0.025,196.516375,0.008742,0.060498,2.419753
7,0.03,184.956588,0.011049,0.072597,2.419672
8,0.035,104.038081,0.012798,0.084695,2.419622
9,0.04,104.038081,0.014056,0.096793,2.419601
10,0.045,115.597867,0.015385,0.108891,2.419575
11,0.05,104.038081,0.016713,0.120989,2.419549
12,0.055,115.597867,0.018042,0.133087,2.419523
13,0.06,80.918507,0.019231,0.145184,2.419505
14,0.065,80.918507,0.020209,0.157282,2.419499
15,0.07,80.918507,0.021188,0.169379,2.419493
16,0.075,138.717441,0.022517,0.181477,2.419467
17,0.08,161.837014,0.024335,0.193574,2.419414
18,0.085,138.717441,0.026153,0.205671,2.41936
19,0.09,173.396801,0.02804,0.217767,2.419303
20,0.095,231.195735,0.030488,0.229864,2.419214
21,0.1,196.516375,0.033074,0.24196,2.419118
22,0.105,208.076161,0.035521,0.254055,2.419029
23,0.11,184.956588,0.037898,0.26615,2.418944
24,0.115,208.076161,0.040275,0.278244,2.418859
25,0.12,208.076161,0.042791,0.290338,2.418766
26,0.125,150.277228,0.044958,0.302432,2.418693
27,0.13,161.837014,0.046845,0.314525,2.418636
28,0.135,161.837014,0.048802,0.326618,2.418575
29,0.14,138.717441,0.05062,0.338711,2.418521
30,0.145,127.157654,0.052227,0.350804,2.41848
31,0.15,161.837014,0.053975,0.362896,2.41843
32,0.155,173.396801,0.056001,0.374988,2.418365
33,0.16,219.635948,0.058378,0.38708,2.41828
34,0.165,219.635948,0.061033,0.399171,2.418179
35,0.17,265.875095,0.063968,0.411261,2.418063
36,0.175,265.875095,0.067183,0.423351,2.417931
37,0.18,277.434882,0.070467,0.435441,2.417795
38,0.185,254.315308,0.073681,0.447529,2.417663
39,0.19,277.434882,0.076895,0.459617,2.417531
40,0.195,208.076161,0.079829,0.471705,2.417414
41,0.2,196.516375,0.082274,0.483791,2.417325
42,0.205,173.396801,0.08451,0.495878,2.417248
43,0.21,138.717441,0.086396,0.507964,2.417191
44,0.215,161.837014,0.088212,0.52005,2.417138
45,0.22,184.956588,0.090308,0.532135,2.417068
46,0.225,184.956588,0.092543,0.54422,2.416991
47,0.23,219.635948,0.094988,0.556305,2.416903
48,0.235,231.195735,0.097712,0.568389,2.416798
49,0.24,242.755521,0.100575,0.580473,2.416686
50,0.245,254.315308,0.103578,0.592556,2.416565
