Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s]
1,0,0,0,0,2.41
2,0.005,104.038081,0.000627,0.01205,2.410014
3,0.01,196.516375,0.002438,0.0241,2.40996
4,0.015,196.516375,0.004806,0.03615,2.409875
5,0.02,184.956588,0.007104,0.048199,2.409794
6,0.025,150.277228,0.009123,0.060248,2.409729
7,0.03,127.157654,0.010795,0.072296,2.409684
8,0.035,161.837015,0.012536,0.084344,2.409634
9,0.04,115.597868,0.014207,0.096392,2.409589
10,0.045,115.597868,0.0156,0.10844,2.409559
11,0.05,127.157654,0.017062,0.120488,2.409525
12,0.055,57.798934,0.018176,0.132536,2.409511
13,0.06,46.239147,0.018803,0.144583,2.409525
14,0.065,57.798934,0.01943,0.156631,2.409538
15,0.07,104.038081,0.020404,0.168679,2.409532
16,0.075,127.157654,0.021797,0.180726,2.409503
17,0.08,173.396801,0.023608,0.192773,2.409449
18,0.085,231.195735,0.026045,0.204821,2.40936
19,0.09,254.315308,0.028969,0.216867,2.409244
20,0.095,254.315308,0.032032,0.228913,2.40912
21,0.1,219.635948,0.034887,0.240958,2.409007
22,0.105,184.956588,0.037324,0.253003,2.408918
23,0.11,173.396801,0.039482,0.265047,2.408845
24,0.115,173.396801,0.04157,0.277092,2.408776
25,0.12,161.837015,0.043589,0.289135,2.408711
26,0.125,161.837015,0.045538,0.301179,2.40865
27,0.13,115.597868,0.047208,0.313222,2.408604
28,0.135,127.157654,0.04867,0.325265,2.408571
29,0.14,69.358721,0.049853,0.337308,2.408553
30,0.145,92.478294,0.050828,0.34935,2.408547
31,0.15,104.038081,0.052011,0.361393,2.408529
32,0.155,150.277228,0.053543,0.373436,2.408491
33,0.16,196.516375,0.055631,0.385478,2.408422
34,0.165,173.396801,0.057858,0.39752,2.408345
35,0.17,231.195735,0.060294,0.409561,2.408256
36,0.175,196.516375,0.062869,0.421602,2.408159
37,0.18,219.635948,0.065374,0.433643,2.408067
38,0.185,254.315308,0.068227,0.445683,2.407954
39,0.19,254.315308,0.071289,0.457722,2.40783
40,0.195,196.516375,0.074003,0.469761,2.407725
41,0.2,173.396801,0.07623,0.4818,2.407648
42,0.205,138.717441,0.078108,0.493838,2.407591
43,0.21,127.157654,0.079708,0.505876,2.407549
44,0.215,127.157654,0.081239,0.517913,2.407512
45,0.22,138.717441,0.082839,0.529951,2.40747
46,0.225,196.516375,0.084857,0.541988,2.407405
47,0.23,196.516375,0.087222,0.554025,2.40732
48,0.235,219.635948,0.089727,0.566061,2.407227
49,0.24,219.635948,0.09237,0.578097,2.407127
50,0.245,184.956588,0.094805,0.590132,2.407038
51,0.25,231.195735,0.097309,0.602167,2.406945
52,0.255,231.195735,0.100092,0.614202,2.406837
53,0.26,231.195735,0.102874,0.626236,2.406728
54,0.265,196.516375,0.105447,0.638269,2.406631
55,0.27,184.956588,0.107742,0.650302,2.40655
56,0.275,127.157654,0.10962,0.662335,2.406493
57,0.28,115.597868,0.111081,0.674367,2.406459
58,0.285,115.597868,0.112472,0.686399,2.40643
59,0.29,80.918507,0.113654,0.698431,2.406412
60,0.295,127.157654,0.114906,0.710463,2.40639
61,0.3,127.157654,0.116435,0.722495,2.406352
62,0.305,173.396801,0.118244,0.734527,2.406299
63,0.31,173.396801,0.12033,0.746558,2.40623
64,0.315,150.277228,0.122277,0.758589,2.406169
65,0.32,219.635948,0.124502,0.77062,2.406091
66,0.325,242.755522,0.127283,0.78265,2.405983
67,0.33,231.195735,0.130134,0.79468,2.405871
68,0.335,242.755522,0.132985,0.806709,2.405758
69,0.34,196.516375,0.135627,0.818737,2.405657
70,0.345,173.396801,0.137851,0.830765,2.40558
71,0.35,127.157654,0.139659,0.842793,2.405527
72,0.355,138.717441,0.141258,0.854821,2.405485
73,0.36,115.597868,0.142787,0.866848,2.405448
74,0.365,80.918507,0.143969,0.878875,2.40543
75,0.37,138.717441,0.14529,0.890902,2.405404
76,0.375,138.717441,0.146958,0.902929,2.405359
77,0.38,196.516375,0.148974,0.914956,2.405293
78,0.385,184.956588,0.151268,0.926982,2.405212
79,0.39,184.956588,0.153492,0.939008,2.405135
80,0.395,208.076161,0.155855,0.951033,2.405051
81,0.4,242.755522,0.158566,0.963058,2.404946
82,0.405,277.434882,0.161693,0.975083,2.404818
83,0.41,288.994668,0.165098,0.987107,2.404674
84,0.415,242.755522,0.168295,0.99913,2.404542
85,0.42,277.434882,0.171422,1.011152,2.404413
86,0.425,219.635948,0.17441,1.023174,2.404293
87,0.43,242.755522,0.177189,1.035195,2.404185
88,0.435,254.315308,0.180177,1.047216,2.404064
89,0.44,219.635948,0.183025,1.059236,2.403952
90,0.445,196.516375,0.185526,1.071255,2.403859
91,0.45,231.195735,0.188096,1.083274,2.403762
92,0.455,323.674029,0.191431,1.095293,2.403622
93,0.46,288.994668,0.195112,1.10731,2.403463
94,0.465,265.875095,0.198446,1.119327,2.403323
95,0.47,300.554455,0.201849,1.131344,2.403179
96,0.475,300.554455,0.205461,1.143359,2.403023
97,0.48,335.233815,0.20928,1.155374,2.402855
98,0.485,312.114242,0.213169,1.167388,2.402684
99,0.49,300.554455,0.216849,1.179401,2.402524
100,0.495,335.233815,0.220667,1.191413,2.402356
101,0.5,312.114242,0.224555,1.203424,2.402185
102,0.505,312.114242,0.228304,1.215435,2.402021
103,0.51,288.994668,0.231913,1.227444,2.401865
104,0.515,312.114242,0.235523,1.239453,2.401709
105,0.52,312.114242,0.23927,1.251461,2.401546
106,0.525,335.233815,0.243157,1.263469,2.401374
107,0.53,358.353389,0.247321,1.275475,2.401187
108,0.535,358.353389,0.251623,1.287481,2.400992
109,0.54,369.913175,0.255994,1.299485,2.400793
110,0.545,427.712109,0.260781,1.311488,2.40057
111,0.55,381.472962,0.265637,1.323491,2.400343
112,0.555,369.913175,0.270146,1.335492,2.400136
113,0.56,358.353389,0.274516,1.347492,2.399937
114,0.565,346.793602,0.278746,1.359491,2.399746
115,0.57,381.472962,0.283115,1.37149,2.399547
116,0.575,404.592536,0.28783,1.383487,2.399328
117,0.58,416.152322,0.292753,1.395483,2.399097
118,0.585,381.472962,0.297537,1.407478,2.398875
119,0.59,404.592536,0.302251,1.419472,2.398656
120,0.595,393.032749,0.307034,1.431464,2.398433
121,0.6,404.592536,0.311816,1.443456,2.39821
122,0.605,462.391469,0.317014,1.455446,2.397964
123,0.61,427.712109,0.32235,1.467436,2.39771
124,0.615,427.712109,0.327477,1.479423,2.397467
125,0.62,485.511043,0.33295,1.49141,2.397205
126,0.625,520.190403,0.338977,1.503395,2.396911
127,0.63,462.391469,0.344865,1.515379,2.396626
128,0.635,473.951256,0.350475,1.527362,2.396356
129,0.64,404.592536,0.355738,1.539343,2.396105
130,0.645,427.712109,0.360723,1.551323,2.395871
131,0.65,462.391469,0.366054,1.563302,2.395616
132,0.655,485.511043,0.371731,1.575279,2.395343
133,0.66,439.271896,0.377269,1.587255,2.395076
134,0.665,462.391469,0.382667,1.59923,2.394818
135,0.67,485.511043,0.388342,1.611203,2.394544
136,0.675,520.190403,0.394362,1.623175,2.394251
137,0.68,531.75019,0.400658,1.635146,2.393941
138,0.685,531.75019,0.407023,1.647115,2.393628
139,0.69,589.549123,0.413732,1.659082,2.393295
140,0.695,601.10891,0.420856,1.671047,2.392938
141,0.7,589.549123,0.427978,1.683011,2.392582
142,0.705,566.42955,0.434892,1.694973,2.392237
143,0.71,589.549123,0.441805,1.706934,2.391892
144,0.715,566.42955,0.448717,1.718892,2.391547
145,0.72,589.549123,0.455628,1.730849,2.391202
146,0.725,566.42955,0.462538,1.742804,2.390857
147,0.73,543.309976,0.46917,1.754758,2.390528
148,0.735,543.309976,0.475664,1.76671,2.390207
149,0.74,589.549123,0.482433,1.77866,2.38987
150,0.745,520.190403,0.489063,1.790608,2.389541
151,0.75,566.42955,0.495554,1.802555,2.38922
152,0.755,658.907843,0.502872,1.8145,2.388851
153,0.76,601.10891,0.510396,1.826444,2.388471
154,0.765,601.10891,0.517575,1.838385,2.38811
155,0.77,566.42955,0.524545,1.850325,2.387761
156,0.775,612.668697,0.531583,1.862263,2.387409
157,0.78,624.228483,0.538964,1.874199,2.387036
158,0.785,577.989336,0.546138,1.886133,2.386676
159,0.79,589.549123,0.553104,1.898066,2.386327
160,0.795,601.10891,0.560207,1.909996,2.38597
161,0.8,577.989336,0.567239,1.921925,2.385618
162,0.805,612.668697,0.57434,1.933852,2.385261
163,0.81,589.549123,0.581509,1.945778,2.3849
164,0.815,612.668697,0.588676,1.957701,2.38454
165,0.82,577.989336,0.595773,1.969623,2.384183
166,0.825,601.10891,0.602801,1.981543,2.38383
167,0.83,624.228483,0.610103,1.993462,2.383462
168,0.835,658.907843,0.617748,2.005378,2.383074
169,0.84,658.907843,0.625598,2.017292,2.382674
170,0.845,635.78827,0.63331,2.029205,2.382281
171,0.85,670.46763,0.641089,2.041115,2.381885
172,0.855,635.78827,0.648866,2.053024,2.381489
173,0.86,612.668697,0.656299,2.06493,2.381113
174,0.865,647.348057,0.663799,2.076835,2.380733
175,0.87,589.549123,0.67116,2.088737,2.38036
176,0.875,566.42955,0.678039,2.100638,2.380015
177,0.88,566.42955,0.684779,2.112538,2.379678
178,0.885,543.309976,0.69138,2.124435,2.379349
179,0.89,566.42955,0.697981,2.136331,2.37902
180,0.895,566.42955,0.704718,2.148225,2.378683
181,0.9,601.10891,0.711661,2.160118,2.378334
182,0.905,589.549123,0.71874,2.172009,2.377978
